person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
ACT 19:22__Erastus_1_1,ACT 19:22,Erastus_1_1,Erastus_1,Erastus,1,40081,
ACT 19:23__NA,ACT 19:23,NA,NA,NA,,40082,
ACT 19:24__Demetrius_1_1,ACT 19:24,Demetrius_1_1,Demetrius_1,Demetrius,1,40083,
ACT 19:25__NA,ACT 19:25,NA,NA,NA,,40084,
ACT 19:26__Saul_2_2,ACT 19:26,Saul_2_2,Saul_2,Paul,1,40085,
ACT 19:27__NA,ACT 19:27,NA,NA,NA,,40086,
ACT 19:28__NA,ACT 19:28,NA,NA,NA,,40087,
ACT 19:29__Gaius_1_1,ACT 19:29,Gaius_1_1,Gaius_1,Gaius,1,40088,
ACT 19:29__Aristarchus_1_1,ACT 19:29,Aristarchus_1_1,Aristarchus_1,Aristarchus,1,40089,
ACT 19:29__Saul_2_2,ACT 19:29,Saul_2_2,Saul_2,Paul,1,40090,
ACT 19:30__Saul_2_2,ACT 19:30,Saul_2_2,Saul_2,Paul,1,40091,
ACT 19:31__NA,ACT 19:31,NA,NA,NA,,40092,
ACT 19:32__NA,ACT 19:32,NA,NA,NA,,40093,
ACT 19:33__Alexander_3_1,ACT 19:33,Alexander_3_1,Alexander_3,Alexander,2,40094,
ACT 19:34__NA,ACT 19:34,NA,NA,NA,,40095,
ACT 19:35__NA,ACT 19:35,NA,NA,NA,,40096,
ACT 19:36__NA,ACT 19:36,NA,NA,NA,,40097,
ACT 19:37__NA,ACT 19:37,NA,NA,NA,,40098,
ACT 19:38__Demetrius_1_1,ACT 19:38,Demetrius_1_1,Demetrius_1,Demetrius,1,40099,
ACT 19:39__NA,ACT 19:39,NA,NA,NA,,40100,
ACT 19:40__NA,ACT 19:40,NA,NA,NA,,40101,
ACT 19:41__NA,ACT 19:41,NA,NA,NA,,40102,
ACT 20:1__Saul_2_2,ACT 20:1,Saul_2_2,Saul_2,Paul,1,40103,
ACT 20:2__NA,ACT 20:2,NA,NA,NA,,40104,
ACT 20:3__NA,ACT 20:3,NA,NA,NA,,40105,
ACT 20:4__Sopater_1_1,ACT 20:4,Sopater_1_1,Sopater_1,Sopater,1,40106,of Berea
ACT 20:4__Pyrrhus_1_1,ACT 20:4,Pyrrhus_1_1,Pyrrhus_1,Pyrrhus,1,40107,
ACT 20:4__Aristarchus_1_1,ACT 20:4,Aristarchus_1_1,Aristarchus_1,Aristarchus,1,40108,
ACT 20:4__Secundus_1_1,ACT 20:4,Secundus_1_1,Secundus_1,Secundus,1,40109,
ACT 20:4__Gaius_2_1,ACT 20:4,Gaius_2_1,Gaius_2,Gaius,1,40110,
ACT 20:4__Timothy_1_1,ACT 20:4,Timothy_1_1,Timothy_1,Timothy,1,40111,
ACT 20:4__Tychicus_1_1,ACT 20:4,Tychicus_1_1,Tychicus_1,Tychicus,1,40112,
ACT 20:4__Trophimus_1_1,ACT 20:4,Trophimus_1_1,Trophimus_1,Trophimus,1,40113,
ACT 20:5__NA,ACT 20:5,NA,NA,NA,,40114,
ACT 20:6__NA,ACT 20:6,NA,NA,NA,,40115,
ACT 20:7__Saul_2_2,ACT 20:7,Saul_2_2,Saul_2,Paul,1,40116,
ACT 20:8__NA,ACT 20:8,NA,NA,NA,,40117,
ACT 20:9__Eutychus_1_1,ACT 20:9,Eutychus_1_1,Eutychus_1,Eutychus,1,40118,
