place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Ashteroth-karnaim_1_1,Ashteroth-karnaim_1,Ashteroth-karnaim,עַשְׁתְּרֹת קַרְנַיִם,ashətərot qarnayim,Ashteroth of the pair of horns [twin peaks?],H6255,Ασταρωθ Καρναιν,Astarōth Karnain,,none,GEN 14:5,proper name,afe4be0,,,1,66
Ham_1_1,Ham_1,Ham,הָם,ham,wealth,H1990,[none],,,,GEN 14:5,proper name,a7a5f29,,,1,67
Shaveh-kiriathaim_1_1,Shaveh-kiriathaim_1,Shaveh-kiriathaim,שָׁוֵה קִרְיָתָיִם,shaveh qirəyatayim,level [valley] of two cities,H7741,Σαυη τῇ πόλει,Sauē tē͂ͅ pólei,Shaveh the city,"none, G3588, G4172",GEN 14:5,proper name,a86d49f,,,1,68
Mount Seir_1_1,Mount Seir_1,Mount Seir,הַרְרָם שֵׂעִיר,harəram saiyr,goat mountain,"H2022, H8163",ὄρεσιν Σηιρ,o̓́resin Sēir,mount Seir,"G3735, none",GEN 14:6,proper name,ae981db,,,1,69
El-paran_1_1,El-paran_1,El-paran,אֵיל פָּארָן,ayl paran,terebinth of Paran,H364,τερεμίνθου τῆς Φαραν,teremínthou tē͂s Pharan,terebinth of Paran,"none, G3588, none",GEN 14:6,proper name,a738bf1,,,1,70
Kadesh_1_1,Kadesh_1,Kadesh,קָדֵשׁ,qadesh,sacred place,H6946,Καδης,Kadēs,,none,GEN 14:7,proper name,ac2cef0,,,1,71
Kadesh_1_2,Kadesh_1,En-mishpat,עֵין מִשְׁפָּט,ayn mishəpat,spring of judgement,H5880,πηγὴν τῆς κρίσεως,pēgḕn tē͂s kríseōs,spring [of] the judgment,"G4077, G3588, G2920",GEN 14:7,proper name,ac2cef0,,,2,72
Hazazon-tamar_1_1,Hazazon-tamar_1,Hazazon-tamar,חַצְצוֹן תָּמָר,chatsətson tamar,Hazazon of the palm trees,H2688,Ασασανθαμαρ,Asasanthamar,,none,GEN 14:7,proper name,a4d6a38,,,1,73
Dan_1_1,Dan_1,Dan,דָּן,dan,judge,H1835,Δαν,Dan,,none,GEN 14:14,proper name,a513646,,,1,74
Hobah_1_1,Hobah_1,Hobah,חוֹבָה,chobah,,H2327,Χωβα,Xōba,,none,GEN 14:15,proper name,a6779cd,,,1,75
Damascus_1_1,Damascus_1,Damascus,דַּמֶּשֶׂק,dameseq,,H1834,Δαμασκός,Damaskós,Damascus,G1154,GEN 14:15,proper name,a69c1d4,,,1,76
King's Valley_1_1,King's Valley_1,King's Valley,עֵמֶק הַמֶּלֶךְ,emeq hamelekh,valley [of] the king,"H6010, H4428",πεδίον βασιλέως,pedíon basiléōs,plain [of the] king,"G3977, G935",GEN 14:17,proper name,ac9f98d,,,1,77
King's Valley_1_2,King's Valley_1,Valley of Shaveh,עֵמֶק שָׁוֵה,emeq shaveh,valley [of the] plain (?),H7737,κοιλάδα τὴν Σαυη,koiláda tḕn Sauē,valley of Shaveh,"none, G3588, none",GEN 14:17,proper name,a402ee4,,,2,78
Jerusalem_1_1,Jerusalem_1,Salem,שָׁלֵם,salem,peace,H8004,Σαλήμ,Salḗm,Salem,G4532,GEN 14:18,proper name,aad7e4e,,,1,79
Nile_1_1,Nile_1,River of Egypt,נְּהַר מִצְרַיִם,nəhar mitsərayim,river [of] Egypt,"H5104, H4714",ποταμοῦ Αἰγύπτου,potamou͂ Ai̓gúptou,river [of] egypt,"G4215, G125",GEN 15:18,proper name,a012705,,,1,80
Euphrates_1_2,Euphrates_1,the Great River,הַנָּהָר הַגָּדֹל,hanahar hagadol,the river the great,"H5104, H1419",τοῦ ποταμοῦ τοῦ μεγάλου,tou͂ potamou͂ tou͂ megálou,the river the great [large],"G3588, G4215, G3588, G3173",GEN 15:18,proper name,a62dec4,,,2,81
Shur_1_1,Shur_1,Shur,שׁוּר,shur,wall,H7793,Σουρ,Sour,,none,GEN 16:7,proper name,acdbce0,,,1,82
