place_id,place_name,place_type,modern_equivalent,place_notes,openbible_id,openbible_url,name_instance,place_sequence
Paddan-aram_1,Paddan-aram,settlement,in the region of Aram-naharaim,First mention: GEN 25:20,a8ec7ba,https://www.openbible.info/geo/ancient/a8ec7ba/paddan-aram,1,81
Esek_1,Esek,well,in the region between Gerar and Beersheba,First mention: GEN 26:20,a43608b,https://www.openbible.info/geo/ancient/a43608b/esek,1,82
Sitnah_1,Sitnah,well,within 15 km of Ruheibeh,First mention: GEN 26:21,aa454f7,https://www.openbible.info/geo/ancient/aa454f7/sitnah,1,83
Rehoboth_1,Rehoboth,well,Ruheibeh,First mention: GEN 26:22,ab1d954,https://www.openbible.info/geo/ancient/ab1d954/rehoboth-1,1,84
Shiba_1,Shiba,well,Bir es Seba,First mention: GEN 26:33,m14a95e,https://www.openbible.info/geo/modern/m14a95e/bir-es-seba,1,85
Gilead_1,Gilead,geographic region,hill country west-northwest of modern Amman and loosely associated with the Jabbok River,First mention: GEN 31:21,ae73b90,https://www.openbible.info/geo/ancient/ae73b90/gilead-1,1,86
Mahanaim_1,Mahanaim,settlement,Tell edh Dhahab el Gharbi,First mention: GEN 32:2,ae5bfe9,https://www.openbible.info/geo/ancient/ae5bfe9/mahanaim,1,87
Edom_1,Edom,region,A region between the Dead Sea and the Gulf of Aqaba,First mention: GEN 32:3,a2735ff,https://www.openbible.info/geo/ancient/a2735ff/edom,1,88
Jabbok_1,Jabbok,river,Zarqa River,First mention: GEN 32:22,aca7bd9,https://www.openbible.info/geo/ancient/aca7bd9/jabbok,1,89
Peniel_1,Peniel,settlement,Tell edh Dhahab esh Sherqiyeh,First mention: GEN 32:30,a8a9ff9,https://www.openbible.info/geo/ancient/a8a9ff9/penuel,1,90
Succoth_1,Succoth,settlement,Tell Deir Alla,First mention: GEN 33:17,a0905b5,https://www.openbible.info/geo/ancient/a0905b5/succoth-1,1,91
El-bethel_1,El-bethel,altar,"Possibly Beitin, Al Bira, or Burj Beitin",First mention: GEN 35:7,a30b045,https://www.openbible.info/geo/ancient/a30b045/el-bethel,1,92
Allon-bacuth_1,Allon-bacuth,tree,"Possibly near Beitin, Al Bira, or Burj Beitin",First mention: GEN 35:8,af9a894,https://www.openbible.info/geo/ancient/af9a894/allon-bacuth,1,93
Bethlehem_1,Bethlehem,settlement,Bethlehem,First mention: GEN 35:19,a112427,https://www.openbible.info/geo/ancient/a112427/bethlehem-1,1,94
Migdal Eder_1,Migdal Eder,settlement,Khirbet es Siyar el Ghanam,First mention: GEN 35:21,ab80fa1,https://www.openbible.info/geo/ancient/ab80fa1/eder-1,1,95
Dinhabah_1,Dinhabah,settlement,"Uncertain, possibly Khirbet el Muhatta or Dannea",First mention: GEN 36:32,ae28fc7,https://www.openbible.info/geo/ancient/ae28fc7/dinhabah,1,96
Bozrah_1,Bozrah,settlement,Buseira,First mention: GEN 36:33,a871210,https://www.openbible.info/geo/ancient/a871210/bozrah-1,1,97
