person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
Assir_2_1,Assir_2,Assir,אַסִּ֥יר,asiyr,prisoner,H617,Ασιρ,Asir,,none,1CH 6:23,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:8,1,1594
Tahath_1_1,Tahath_1,Tahath,תַּחַת,tachat,compensation,H8480,Θααθ,Thaath,,none,1CH 6:24,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:9,1,1595
Uriel_1_1,Uriel_1,Uriel,אוּרִיאֵל,uriyel,"G-d [El] is [my] flame, light",H222,Ουριηλ,Ouriēl,,none,1CH 6:24,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:9,1,1596
Uzziah_1_1,Uzziah_1,Uzziah,עֻזִּיָּה,uziyah,Yahweh is [my] strength,H5818,Οζια,Ozia,,none,1CH 6:24,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:9,1,1597
Shaul_3_1,Shaul_3,Shaul,שָׁאוּל,shaul,"asked, [poss.] dedicated to G-d",H7586,Σαουλ,Saoul,,G4549,1CH 6:24,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:9,1,1598
Elkanah_4_1,Elkanah_4,Elkanah,אֶלְקָנָה,eləqanah,G-d [El] has possessed,H511,Ελκανα,Elkana,,none,1CH 6:25,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:10,1,1599
Amasai_1_1,Amasai_1,Amasai,עֲמָשַׂי,amasay,[my] people are from Jesse,H6022,Αμασι,Amasi,,none,1CH 6:25,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:10,1,1600
Ahimoth_1_1,Ahimoth_1,Ahimoth,אֲחִימוֹת,achiymot,[my] brother is my support [or poss.] [my] brother is Mot,H287,Αχιμωθ,Aximōth,,none,1CH 6:25,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:10,1,1601
Elkanah_5_1,Elkanah_5,Elkanah,אֶלְקָנָה,eləqanah,G-d [El] has possessed,H511,Ελιαβ,Eliab,,none,1CH 6:26,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:11,1,1602
Zuph_1_2,Zuph_1,Zophai,צוֹפַי,tsofay,"[dripping, full] honeycomb",H6689,Σουφι,Souphi,,none,1CH 6:26,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:11,2,1603
Tohu_1_2,Tohu_1,Nahath,נַ֥חַת,nachat,descent; [poss.] rest,H5184,Νααθ,Naath,,none,1CH 6:26,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:11,2,1604
Elihu_1_2,Elihu_1,Eliab,אֱלִיאָ֖ב,eliyav,G-d [El] is [my] father,H446,Ελιαβ,Eliab,,none,1CH 6:27,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:12,2,1605
Libni_2_1,Libni_2,Libni,לִבְנִי,libəniy,[descendant of] Libni or white,H3845,Λοβενι,Lobeni,,none,1CH 6:29,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:14,1,1606
