person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
EXO 8:19__Pharaoh_3__Pharaoh_3_1,EXO 8:19,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2988,
EXO 8:19__G-d_1__G-d_1_1,EXO 8:19,G-d_1_1,G-d_1,G-d,1,2989,
EXO 8:19__G-d_1__G-d_1_3,EXO 8:19,G-d_1_3,G-d_1,LORD,1,2990,
EXO 8:20__G-d_1__G-d_1_3,EXO 8:20,G-d_1_3,G-d_1,LORD,1,2991,
EXO 8:20__Moses_1__Moses_1_1,EXO 8:20,Moses_1_1,Moses_1,Moses,1,2992,
EXO 8:20__Pharaoh_3__Pharaoh_3_1,EXO 8:20,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2993,
EXO 8:21__NA__NA,EXO 8:21,NA,NA,NA,,2994,
EXO 8:22__G-d_1__G-d_1_3,EXO 8:22,G-d_1_3,G-d_1,LORD,1,2995,
EXO 8:23__NA__NA,EXO 8:23,NA,NA,NA,,2996,
EXO 8:24__G-d_1__G-d_1_3,EXO 8:24,G-d_1_3,G-d_1,LORD,1,2997,
EXO 8:24__Pharaoh_3__Pharaoh_3_1,EXO 8:24,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2998,
EXO 8:25__Pharaoh_3__Pharaoh_3_1,EXO 8:25,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2999,
EXO 8:25__Moses_1__Moses_1_1,EXO 8:25,Moses_1_1,Moses_1,Moses,1,3000,
EXO 8:25__Aaron_1__Aaron_1_1,EXO 8:25,Aaron_1_1,Aaron_1,Aaron,1,3001,
EXO 8:25__G-d_1__G-d_1_1,EXO 8:25,G-d_1_1,G-d_1,G-d,1,3002,
EXO 8:26__Moses_1__Moses_1_1,EXO 8:26,Moses_1_1,Moses_1,Moses,1,3003,
